variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
equal_weight	61	GSE300445|GSM9060733_AdjIII-0022|tumor_like|tumor_like|JAG1|NOTCH2|NOTCH	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.93072	high_pilot_v3	True	True	1						0.881156828
equal_weight	62	GSE292299|GSM8855709_NSCLC_P7|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.917205	medium_pilot_v3	False	True	1						0.881057548
equal_weight	63	GSE283052|GSM8655166_P17|tumor_like|tumor_like|MIF|CD74|MIF	GSE283052	GSM8655166_P17	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.930507	high_pilot_v3	True	True	0						0.8808727359999999
equal_weight	64	GSE292299|GSM8855703_NSCLC_P1|immune|immune|SPP1|CD44|SPP1	GSE292299	GSM8855703_NSCLC_P1	NSCLC	immune	immune	SPP1	CD44	SPP1	0.93033	high_pilot_v3	True	True	0						0.880635994
equal_weight	65	GSE292299|GSM8855720_DLBCL_P2|immune|immune|MIF|CD74|MIF	GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	MIF	CD74	MIF	0.930259	high_pilot_v3	True	True	1						0.880541296
equal_weight	66	GSE292299|GSM8855708_NSCLC_P6|tumor_like|tumor_like|VEGFA|KDR|VEGF	GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.920999	medium_pilot_v3	False	True	0						0.879196318
equal_weight	67	GSE292299|GSM8855715_NSCLC_P13|stroma_fibroblast|stroma_fibroblast|TGFB1|TGFBR1|TGFB	GSE292299	GSM8855715_NSCLC_P13	NSCLC	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.920609	medium_pilot_v3	False	True	1						0.878675486
equal_weight	68	GSE292299|GSM8855703_NSCLC_P1|stroma_fibroblast|stroma_fibroblast|SPP1|CD44|SPP1	GSE292299	GSM8855703_NSCLC_P1	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.919792	medium_pilot_v3	False	True	1						0.87758647
equal_weight	69	GSE292299|GSM8855709_NSCLC_P7|stroma_fibroblast|stroma_fibroblast|SPP1|CD44|SPP1	GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.909065	medium_pilot_v3	False	True	1						0.877372004
equal_weight	70	GSE292299|GSM8855707_NSCLC_P5|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927773	high_pilot_v3	True	True	1						0.877226902
